business_id,name,address,city,state,postal_code,phone_number,latitude,longitude
a2j0f0000010z48AAA,Giro D'Italia Ristorante,16 - 8740  Jane Street,Vaughan,Ontario,L4K 2M9,(647) 979-3222,43.81857940449714,-79.5303829006001
a2j0f000000Ry5wAAC,KFC,11 - 66  Copper Creek Drive,Markham,Ontario,L6B 0P2,(365) 509-2045,43.866527479404006,-79.23048744555187
a2j0f000001IEa1AAG,Luscious 5,7500  Woodbine Avenue,Markham,Ontario,L3R 1A8,(905) 415-8233,43.82572486721817,-79.35258453362789
a2j0f0000015NK6AAM,California Sandwiches,3-4 - 10815  Yonge Street,Richmond Hill,Ontario,L4C 3E3,(905) 237-4703,43.8914899429,-79.4412054302
a2j0f0000015NKEAA2,Milestone's,30  High Tech Road,Richmond Hill,Ontario,L4B 4L9,(905) 731-8930,43.84199928830418,-79.42833442791489
a2j0f0000015NKGAA2,Milliken Meat Products,17 - 7750  Birchmount Road,Markham,Ontario,L3R 0B4,(905) 415-0060,43.841097,-79.321745
a2j0f0000015NN7AAM,YMCA of Greater Toronto - Silver Pines YMCA,112  Stave Crescent,Richmond Hill,Ontario,L4C 9J2,(905) 508-6698,43.888892,-79.456918
a2j0f0000015NNCAA2,Kernels Popcorn,1  Promenade Circle,Vaughan,Ontario,L4J 4P8,(905) 886-0260,43.80672269821971,-79.45223640872157
a2j0f0000015NN5AAM,Yip's Music & Montessori School,8-9 - 8100  Yonge Street,Vaughan,Ontario,L4J 6W6,(905) 881-9333,43.82450071986941,-79.42720301900077
a2j0f0000015NMaAAM,Kettleby Pottageville Lions Hall,15980  7th Concession,King,Ontario,L0G 1T0,(905) 833-5321,43.988205,-79.672663
a2j0f0000015NK9AAM,Wing Mui Chinese Medicine Clinic,2602 - 8339  Kennedy Road,Markham,Ontario,L3R 5T5,(416) 500-7588,43.857280243639664,-79.30336976322003
a2j0f0000015NL9AAM,Presotea,C25 - 4300  Steeles Avenue East,Markham,Ontario,L3R 0Y5,(647) 699-9654,43.826199,-79.306317
a2j0f0000015NLAAA2,Yasaman Kebab,294 - 7181  Yonge Street,Markham,Ontario,L3T 0C7,(905) 707-9966,43.803245,-79.419478
a2j0f0000015NL6AAM,Faith Infant and Early Education Centre,43  Crosby Avenue,Richmond Hill,Ontario,L4C 2R3,(905) 737-4493,43.88089758692403,-79.43745920171322
a2j0f0000015NLXAA2,George's Convenience,1 - 110  Ansley Grove Road,Vaughan,Ontario,L4L 3R1,(905) 266-1871,43.8022849434768,-79.56475088206408
a2j0f0000015NKSAA2,York Region Youth Shelter,835  Gorham Street,Newmarket,Ontario,L3Y 1L7,(905) 898-1015,44.05478632590304,-79.44090048581972
a2j0f0000015NKLAA2,Kikka at Whole Foods Unionville,3997  Highway 7 East,Markham,Ontario,L3R 5M6,(905) 474-4900,43.856687,-79.329618
a2j0f0000015NLBAA2,Food Basics,199  Simcoe Avenue,Georgina,Ontario,L4P 2H6,(905) 476-7298,44.2413553038,-79.4736482213
a2j0f0000015NLCAA2,Green Grotto,7040  Warden Avenue,Markham,Ontario,L3R 7Y3,(905) 300-2578,43.821333,-79.325065
a2j0f0000015NLDAA2,BarBurrito,5A - 17906  Yonge Street,Newmarket,Ontario,L3Y 8S1,(905) 235-5225,44.063758,-79.4834
a2j0f0000015NLEAA2,Newmarket Veterans Association,406  Millard Avenue,Newmarket,Ontario,L3Y 1Z9,(905) 895-7321,44.0542,-79.460865
a2j0f0000015NLgAAM,Kids Come First Child Care Centre - Kids Come First Children's Centre,270  Apple Blossom Drive,Vaughan,Ontario,L4J 8W5,(905) 886-1717,43.840309,-79.474111
a2j0f0000015NLlAAM,Shoppers Drug Mart,5100  Rutherford Road,Vaughan,Ontario,L4H 2J2,(905) 893-2866,43.817433678,-79.6023993889
a2j0f0000015NKVAA2,Mandarin (The),100 - 16655  Yonge Street,Newmarket,Ontario,L3X 1V6,(905) 898-7100,44.034397,-79.473553
a2j0f0000015NKZAA2,One Stop Dollar and More,A1 - 5995  14th Avenue,Markham,Ontario,L3S 0A2,(905) 471-8100,43.854852596150614,-79.25755478882576
a2j0f0000015NLnAAM,Toronto Wholesale Meats Co.,3 - 30  Rivermede Road,Vaughan,Ontario,L4K 3N3,(905) 761-6328,43.821821,-79.484766
a2j0f0000015NLzAAM,Inaho Japanese Restaurant,19 - 155  East Beaver Creek Road,Richmond Hill,Ontario,L4B 2N1,(905) 889-8533,43.849827,-79.37726
a2j0f0000015NM3AAM,Tower Market,126  Tower Hill Road,Richmond Hill,Ontario,L4E 0K6,(905) 508-1022,43.914492991126686,-79.45055299642591
a2j0f0000015NKdAAM,Tim Hortons,1175  Mulock Drive,Newmarket,Ontario,L3Y 8V2,(905) 954-0009,44.04950783888083,-79.42164457155913
a2j0f0000015NKhAAM,Subway,7708  Kennedy Road,Markham,Ontario,L3R 9S5,(905) 940-8987,43.842355,-79.305054
a2j0f0000015NNFAA2,Upper Canada Child Care - Harry Bowes Children's Centre,90  Greenwood Road,Whitchurch-Stouffville,Ontario,L4A 0N8,(905) 640-8722,43.981198,-79.242126
a2j0f0000015NNHAA2,Bloomington Downs Golf Club,855  Bloomington Road,Richmond Hill,Ontario,L4E 3E6,(905) 773-1936,43.9672568822,-79.4310744081
a2j0f0000015NKxAAM,Northern Dumpling Kitchen,52A - 550  Highway 7 East,Richmond Hill,Ontario,L4S 3Z4,(905) 881-3818,43.84477997002109,-79.38357194767926
a2j0f0000015NKyAAM,Petro Canada,8727  Dufferin Street,Vaughan,Ontario,L4J 0A4,(905) 882-1742,43.8292116429,-79.479441272
a2j0f0000015NL0AAM,Leslie Street Day Care Centre,9 - 1111  Stellar Drive,Newmarket,Ontario,L3Y 7B8,(905) 853-1074,44.076959,-79.432231
a2j0f0000015NL4AAM,Red Lobster,7291  Yonge Street,Markham,Ontario,L3T 2A9,(905) 731-3550,43.8046453169,-79.4210131903
a2j0f0000015NL5AAM,Lago Italian Bakery,1 - 12930  Yonge Street,Richmond Hill,Ontario,,(905) 773-1030,43.942869888511424,-79.45486956953
a2j0f0000015NKwAAM,Hank Daddy's Barbecue,11 - 7777  Keele Street,Vaughan,Ontario,L4K 1Y7,(905) 417-4545,43.801896,-79.499794
a2j0f0000015NLNAA2,Cineplex Cinemas - Outakes Backstage Bistro,15460  Bayview Avenue,Aurora,Ontario,L4G 7J1,(905) 841-2867,44.0094187613,-79.4479167748
a2j0f0000015NLOAA2,Concord Food Centre,1438  Centre Street,Vaughan,Ontario,L4J 3N1,(905) 886-2180,43.806854083479884,-79.47266721197437
a2j0f0000015NLPAA2,Rayhon Kebob,30  Levendale Road,Richmond Hill,Ontario,L4C 4H2,(905) 770-4864,43.8820575881,-79.4414522173
a2j0f0000015NLSAA2,Leone Fine Foods,4 - 8655  Weston Road,Vaughan,Ontario,L4L 9R6,(905) 850-2100,43.812921817496296,-79.55218288706541
a2j0f0000015NLuAAM,Booster Juice,B8 - 8280  Highway 27,Vaughan,Ontario,L4H 0R9,(905) 856-8989,43.841051,-79.63249
a2j0f0000015NM9AAM,Purdys Chocolatier,308 - 5000  Highway 7 East,Markham,Ontario,L3R 4M9,(905) 513-6171,43.850481,-79.349936
a2j0f0000015NMAAA2,Esso,9700  Yonge Street,Richmond Hill,Ontario,L4C 1V8,(905) 737-6259,43.8632599691,-79.4366495038
a2j0f0000015NMEAA2,Jenny Craig Weight Loss Centre,20 - 9555  Yonge Street,Richmond Hill,Ontario,L4C 9M5,(905) 770-1145,43.860102,-79.434485
a2j0f0000015NMKAA2,Circle K,8291  Woodbine Avenue,Markham,Ontario,L3R 2P4,(905) 513-7781,43.843059,-79.356243
a2j0f0000015NMLAA2,Family Day Care Services - Ross Doan Child Care Centre,Room 157 - 101  Weldrick Road West,Richmond Hill,Ontario,L4C 3T9,(905) 780-0769,43.857733,-79.443738
a2j0f0000015Ns0AAE,Newmarket Convenience,13 - 17310  Yonge Street,Newmarket,Ontario,L3Y 7R9,(905) 235-1867,44.049763,-79.480583
a2j0f0000015Ns4AAE,Mr. Jerk Unionville,4431  Highway 7 East,Markham,Ontario,L3R 1M1,(905) 740-1375,43.8607189056,-79.3113779596
a2j0f0000015Ns5AAE,Asian Legend,4 - 9781  Jane Street,Vaughan,Ontario,L6A 3N9,(905) 832-2288,43.848696,-79.536465
a2j0f0000015Ns8AAE,Carmelina's Italian & Mediterranean Restaurant,2 - 7501  Woodbine Avenue,Markham,Ontario,L3R 2W1,(905) 477-7744,43.8265012477,-79.3508164626
a2j0f0000015NojAAE,Upper Canada Child Care - Prince of Peace Children's  Centre,181  Glenwoods Avenue,Georgina,Ontario,L4P 3E9,(905) 989-2696,44.213322,-79.460076
a2j0f0000015Nt3AAE,Maria's Kitchen,34 - 588  Edward Avenue,Richmond Hill,Ontario,L4C 9Y6,(905) 737-8752,43.8976076391928,-79.43059803713747
a2j0f0000015NotAAE,Sibbald Point Provincial Park Concession Take-Out,26071  Park Road,Georgina,Ontario,L0E 1R0,(905) 722-9796,44.309131,-79.322317
a2j0f0000015NouAAE,Starbucks Coffee Canada,6 - 7080  Warden Avenue,Markham,Ontario,L3R 5Y2,(905) 470-7009,43.822594,-79.325377
a2j0f0000015NoxAAE,Shell Canada,18233  Leslie Street,East Gwillimbury,Ontario,L3Y 7V1,(905) 953-0824,44.078651,-79.434868
a2j0f0000015NowAAE,Sr. Carmelina's Preschool Academy,1431  Clarence Street,Vaughan,Ontario,L4H 3C4,(905) 552-1431,43.819909,-79.607123
a2j0f0000015NtIAAU,Southdown Institute (The),18798  Old Yonge Street,East Gwillimbury,Ontario,L9N 0L1,(905) 727-4214,44.08587418651926,-79.48832785952364
a2j0f0000015NtQAAU,Mariann Home,9915  Yonge Street,Richmond Hill,Ontario,L4C 1V1,(905) 884-9276,43.869214018979775,-79.436157176076
a2j0f0000015NtRAAU,BIG BONE BBQ & WICKED WINGS,B - 180  Bullock Drive,Markham,Ontario,L3P 7N2,(905) 554-7200,43.875397555780744,-79.28062534359165
a2j0f0000015Np7AAE,Healthy Planet,20 - 10520  Yonge Street,Richmond Hill,Ontario,L4C 3C7,(905) 884-8771,43.88495228093925,-79.44093195864518
a2j0f0000015Np9AAE,Esso,7010  Woodbine Avenue,Markham,Ontario,L3R 1A2,(905) 479-7861,43.8143496006,-79.3494848693
a2j0f0000015NpAAAU,Schomberg Quality Meats,314  Main Street,King,Ontario,L0G 1T0,(905) 939-2851,44.003743,-79.684142
a2j0f0000015NxOAAU,COBS Bread,C6B - 17600  Yonge Street,Newmarket,Ontario,L3Y 4Z1,(905) 868-9555,44.0563864258,-79.4848971153
a2j0f0000015NxQAAU,Shoppers Drug Mart,17600  Yonge Street,Newmarket,Ontario,L3Y 4Z1,(905) 895-3171,44.0563864258,-79.4848971153
a2j0f0000015NxSAAU,Yu Shan Yuan,C1-230 - 4300  Steeles Avenue East,Markham,Ontario,L3R 0Y5,(647) 338-8118,43.823861,-79.306471
a2j0f0000015NpCAAU,Tangerine Asian Cuisine,5-6 - 12260  Yonge Street,Richmond Hill,Ontario,L4E 0W5,(905) 313-8686,43.935256,-79.453571
a2j0f0000015NpFAAU,Subway,1 - 560  Mulock Drive,Newmarket,Ontario,L3Y 8R9,(905) 836-7827,44.0409041588,-79.4505707612
a2j0f0000015NpJAAU,Residence Inn by Marriott,11  Interchange Way,Vaughan,Ontario,L4K 5W3,(905) 695-4002,43.79115470118449,-79.52963620540352
a2j0f0000015NpfAAE,Tim Hortons,2890  Steeles Avenue East,Markham,Ontario,L3T 4X1,(905) 889-8405,43.8119140372,-79.3595670289
a2j0f0000015NqKAAU,Triple Ginseng Herbs Ltd.,89 - 3255  Highway 7 East,Markham,Ontario,L3R 3P9,(905) 604-3619,43.849272,-79.349323
a2j0f0000015NwxAAE,Greco Farms,12958  Ninth Line,Whitchurch-Stouffville,Ontario,L4A 3C7,(905) 642-3230,43.975438,-79.257141
a2j0f0000015Nx2AAE,Tasty Shawarma,9 - 9555  Yonge Street,Richmond Hill,Ontario,L4C 9M5,(905) 237-2825,43.8592915755742,-79.4332052020867
a2j0f0000015NpSAAU,Tim Hortons,7001  Woodbine Avenue,Markham,Ontario,L3R 1A3,(905) 305-9500,43.8145051119,-79.3482538874
a2j0f0000015NpUAAU,Esso,17551  Woodbine Avenue,East Gwillimbury,Ontario,L9N 0L6,(905) 898-6138,44.072325,-79.407724
a2j0f0000015NjkAAE,Matthew's Cafe,8133  Warden Avenue,Markham,Ontario,L6G 1B3,(416) 888-2223,43.847833312,-79.3293237063
a2j0f0000015NjnAAE,The Six Cafe & Restaurant,101 - 8920  Woodbine Avenue,Markham,Ontario,L3R 9W9,(905) 604-7800,43.85990041823085,-79.3615150698497
a2j0f0000015NqxAAE,Nando's,5 - 9625  Yonge Street,Richmond Hill,Ontario,L4C 5T2,(905) 508-6500,43.86201,-79.432676
a2j0f0000015NqOAAU,Smash Kitchen & Bar,A18 - 4261  Highway 7 East,Markham,Ontario,L3R 9W6,(905) 940-2000,43.860197,-79.31485
a2j0f0000015NqPAAU,Pizza Pizza,65 - 7600  Weston Road,Vaughan,Ontario,L4L 8B7,(905) 851-8900,43.7879867093,-79.5489623726
a2j0f0000015NtWAAU,Bento Nouveau,16640  Yonge Street,Newmarket,Ontario,L3Y 4V8,(905) 853-5100,44.056408,-79.480616
a2j0f0000015NxCAAU,Chinese Dumpling House,89-90 - 505  Highway 7 East,Markham,Ontario,L3T 7T1,(905) 881-1238,43.8423802989,-79.3868679963
a2j0f0000015NpZAAU,Leone Fine Foods,4 - 8655  Weston Road,Vaughan,Ontario,L4L 9R6,(905) 850-2100,43.812921817496296,-79.55218288706541
a2j0f0000015NqZAAU,Tim Hortons,8801  Woodbine Avenue,Markham,Ontario,L3R 5W9,(905) 479-4180,43.856746,-79.359737
a2j0f0000015NqaAAE,Ani Ristorante,13-14 - 1450  Clark Avenue,Vaughan,Ontario,L4J 7R5,(905) 761-6484,43.7981488211,-79.4707803801
a2j0f0000015NqcAAE,Villa Madina,FC2 - 1  Bass Pro Mills Drive,Vaughan,Ontario,L4K 5W4,(905) 660-2392,43.82572413202508,-79.53832054757372
a2j0f0000015NsAAAU,Sushi Bento,7355  Bayview Avenue,Markham,Ontario,L3T 5Z2,(905) 882-4686,43.813408,-79.398656
a2j0f0000015NpmAAE,Fontana Primavera Event Centre,77  Woodstream Boulevard,Vaughan,Ontario,L4L 7Y6,(905) 265-8100,43.7746365735,-79.6029353986
a2j0f0000015NpoAAE,Gan Shalom Preschool,10500  Bathurst Street,Vaughan,Ontario,L6A 0H2,(905) 303-1880,43.883043,-79.467138
a2j0f0000015NptAAE,Off the Hook,103 - 13461  Yonge Street,Richmond Hill,Ontario,L4E 0L2,(905) 773-5551,43.954559798965946,-79.45585560329785
a2j0f0000015NxGAAU,Happy BBQ,5E - 7750  Kennedy Road,Markham,Ontario,L3R 0A7,(905) 470-0668,43.842506,-79.305949
a2j0f0000015NqjAAE,Mei Ling,7 - 15005  Yonge Street,Aurora,Ontario,L4G 1M6,(905) 726-1218,43.991403,-79.465584
a2j0f0000015NqkAAE,Backyard Garden Restaurant,113A - 3636  Steeles Avenue East,Markham,Ontario,L3R 1K9,(905) 415-8988,43.81901950773206,-79.33078318726133
a2j0f0000015NqdAAE,Canada's Wonderland - International Street - Alphorn Funnel Cakes,9580  Jane Street,Vaughan,Ontario,L6A 1S6,(905) 832-7000,43.8423479191,-79.5407803574
a2j0f0000015NsJAAU,Archibald's Pub,7-9 - 8950  Yonge Street,Richmond Hill,Ontario,L4C 6Z7,(905) 889-0235,43.84577429466161,-79.43180644478505
a2j0f0000015NsNAAU,A&W,4641  Highway 7 East,Markham,Ontario,L3R 1M6,(905) 940-9863,43.86263,-79.303709
a2j0f0000015NpzAAE,Dynasty Chinese Restaurant,9 - 10  Headdon Gate,Richmond Hill,Ontario,L4C 8A2,(905) 787-8688,43.86722272864709,-79.45889962650168
a2j0f0000015Nq2AAE,Little Readers Academy,2 - 9275  Markham Road,Markham,Ontario,L6E 1A1,(905) 201-2700,43.893437,-79.263297
a2j0f0000015Nq3AAE,Made in China Café,68-69 - 505  Highway 7 East,Markham,Ontario,L3T 7T1,(905) 597-7338,43.842505,-79.386752
a2j0f0000015NqsAAE,Montana's BBQ & Bar,8735  Yonge Street,Richmond Hill,Ontario,L4C 6Z1,(905) 326-6011,43.840795805543365,-79.42823340521477
a2j0f0000015NqtAAE,Farintosh House,7811  Kennedy Road,Markham,Ontario,L3R 2C8,(905) 477-9119,43.845211,-79.304821
a2j0f0000015NqvAAE,Markham Seniors Activity,22  Water Street,Markham,Ontario,L3P 7P9,(905) 294-5111,43.879717,-79.262854
a2j0f0000015NsVAAU,Wendy's,1070  Major Mackenzie Drive East,Richmond Hill,Ontario,L4S 1P3,(905) 883-5145,43.876497,-79.410587
a2j0f0000015NnYAAU,Taste of Naples,60 - 3560  Rutherford Road,Vaughan,Ontario,L4H 3T8,(905) 553-3232,43.824901,-79.563534
a2j0f0000015NncAAE,Paper Crane Sushi Bar and Bistro,1 - 12975  Keele Street,King,Ontario,L7B 1G2,(647) 693-5831,43.92807,-79.528067
a2j0f0000015NnTAAU,Esso,5965  Highway 7 East,Markham,Ontario,L3P 1A1,(905) 294-2163,43.87345439780971,-79.26029353484385
a2j0f0000015NprAAE,Yummie,M1-M5 - 4300  Steeles Avenue East,Markham,Ontario,L3R 0Y5,(416) 569-9727,43.8258663463,-79.3063698352
a2j0f0000015NpsAAE,Prepshop,19 - 8241  Woodbine Avenue,Markham,Ontario,L6G 0A9,(647) 296-9394,44.055604,-79.403955
a2j0f0000015NppAAE,Grab N Go,2 - 9320  Bathurst Street,Vaughan,Ontario,L6A 4N9,(905) 303-2340,43.88524,-79.46768
a2j0f0000015Nq7AAE,Wendy's,9801  Jane Street,Vaughan,Ontario,L6A 3N9,(905) 417-9754,43.8484321736,-79.5358371926
a2j0f0000015NqCAAU,Thai Express,F111 - 1  Promenade Circle,Vaughan,Ontario,L4J 4P8,(905) 771-3688,43.80672269821971,-79.45223640872157
a2j0f0000015NqGAAU,Tim Hortons,18273  Leslie Street,East Gwillimbury,Ontario,L0G 1V0,(905) 952-0940,44.0848354256,-79.4360762756
a2j0f0000015NqHAAU,Cardinal Golf and Country,2740  Davis Drive,King,Ontario,L7B 0G7,(905) 841-7378,44.036727,-79.568608
a2j0f0000015NpBAAU,Aberdeen Market,800  Steeles Avenue West,Vaughan,Ontario,L4K 2L7,(905) 695-1288,43.786048,-79.475577
a2j0f0000015NqyAAE,South St. Burger Co.,R1 - 35  First Commerce Drive,Aurora,Ontario,L4G 0G2,(905) 727-2949,44.012612,-79.414622
a2j0f0000015Nr2AAE,McDonald's,28  Sandiford Drive,Whitchurch-Stouffville,Ontario,L2A 7X2,(905) 642-1689,43.965916,-79.270531
a2j0f0000015Ns9AAE,Villaggio Ristorante,11 - 110  Nashville Road,Vaughan,Ontario,L0J 1C0,(905) 893-4888,43.843551,-79.632531
a2j0f0000015Nr5AAE,Treats,20 - 105  Commerce Valley Drive West,Markham,Ontario,L3T 7W3,(905) 886-6996,43.83887392771146,-79.38334868671491
a2j0f0000015NsZAAU,Pizza Nova,6 - 3120  Rutherford Road,Vaughan,Ontario,L4K 0B1,(905) 303-0678,43.831710667484664,-79.53471674124204
a2j0f0000015NseAAE,Cynthia's Paradise,7 - 16715  Yonge Street,Newmarket,Ontario,L3X 1X4,(905) 898-2888,43.916272,-79.447944
a2j0f0000015NnhAAE,Pita Lite,3 - 6150  Highway 7 West,Vaughan,Ontario,L4H 0R2,(905) 851-0020,43.773338806113415,-79.6254121818521
a2j0f0000015NnjAAE,Compass Group Canada - IBM,3600  Steeles Avenue East,Markham,Ontario,L3R 9Z7,(905) 316-3302,43.8192291198,-79.3341164465
a2j0f0000015NxMAAU,Noble Wok,4 - 13065  Highway 27,King,Ontario,L0G 1N0,(905) 859-9997,43.894106,-79.650787
a2j0f0000015NrAAAU,Richmond Hill Golf Club,8755  Bathurst Street,Richmond Hill,Ontario,L4C 0H4,(905) 889-4653,43.836212,-79.4534
a2j0f0000015NrFAAU,Ristorante Brettone,5 - 830  Rowntree Dairy Road,Vaughan,Ontario,L4L 5V2,(905) 856-0506,43.77984742558514,-79.57077858800062
a2j0f0000015NnuAAE,San Antonio Foods,20 - 5731  Highway 7 West,Vaughan,Ontario,L4L 4Y9,(905) 850-0550,43.7741173797,-79.6120426781
a2j0f0000015NnvAAE,Oshio Restaurant,25 - 2900  Steeles Avenue East,Markham,Ontario,L3T 4X1,(905) 881-5686,43.8129262527,-79.3595311833
a2j0f0000015NwmAAE,Casa Dolce Casa Inc.,7890  Pine Valley Drive,Vaughan,Ontario,L4L 2J3,(905) 605-1648,43.787402,-79.574804
a2j0f0000015NwpAAE,Sharon Hall,18980  Leslie Street,East Gwillimbury,Ontario,L0G 1V0,(905) 478-2389,44.102018,-79.441174
a2j0f0000015NnoAAE,Ambiyan Restaurant,149  Main Street Unionville,Markham,Ontario,L3R 2G8,(905) 480-0094,43.866383,-79.311218
a2j0f0000015NnUAAU,MC Convenience,3B - 411  Manhattan Drive,Markham,Ontario,L3P 7P4,(905) 479-6086,43.8811261003,-79.2887568286
a2j0f0000015NrGAAU,Tim Hortons,855  Mulock Drive,Newmarket,Ontario,L3Y 4W1,(905) 954-0476,44.04598721987181,-79.43765575238365
a2j0f0000015NrHAAU,St. Louis Bar and Grill,H1 - 23580  Woodbine Avenue,Georgina,Ontario,L4P 3E9,(905) 476-1333,44.218005,-79.444726
a2j0f0000015NrKAAU,Upper Canada Child Care - Wilshire Child Care,265  Beverley Glen Boulevard,Vaughan,Ontario,L4J 7S8,(905) 709-2273,43.813198,-79.466802
a2j0f0000015NrMAAU,Thai Express,H5 - 9350  Yonge Street,Richmond Hill,Ontario,L4C 5G2,(905) 770-8712,43.8548067898,-79.43607955
a2j0f0000015NslAAE,Pizzaville,216 - 9737  Yonge Street,Richmond Hill,Ontario,L4C 9S7,(905) 918-0442,43.869317,-79.436596
a2j0f0000015NnxAAE,Village Children's Programs (The) - St. Joseph Child Care Centre,388  White's Hill Avenue,Markham,Ontario,L6B 0J3,(905) 209-8886,43.896509,-79.222605
a2j0f0000015No2AAE,Garden Basket (The),9271  Markham Road,Markham,Ontario,L6E 1A1,(905) 471-0777,43.892973,-79.263179
a2j0f0000015Nx3AAE,Fav Cafe and Bar,2A - 3000  Highway 7 East,Markham,Ontario,L3R 6E1,(905) 604-8677,43.85055289050529,-79.35731005107203
a2j0f0000015Nx8AAE,Sing Yuan Fast Food Cafe,242 - 465  Davis Drive,Newmarket,Ontario,L3Y 2P1,(905) 715-7884,44.060638056090596,-79.46000057441469
a2j0f0000015NxAAAU,Bagel World,16995  Yonge Street,Newmarket,Ontario,L3Y 5Y1,(905) 235-8000,44.04235440700891,-79.47676204245049
a2j0f0000015NrxAAE,My Zaidy's Pizza,10 - 441  Clark Avenue,Vaughan,Ontario,L4J 6W7,(905) 731-3029,43.804531,-79.437811
a2j0f0000015NrUAAU,Firehouse Subs,C2 - 2901  Major Mackenzie Drive West,Vaughan,Ontario,L6A 3N9,(905) 832-0002,43.849831,-79.535388
a2j0f0000015NrWAAU,Starbucks Coffee Canada,Bldg C - 1241  Elgin Mills Road,Richmond Hill,Ontario,L4S 0B5,(905) 508-9956,43.896669,-79.403512
a2j0f0000015NsmAAE,Baran Catering,8 - 255  Industrial Parkway South,Aurora,Ontario,L4G 3V2,(905) 503-6030,43.990788,-79.453424
a2j0f0000015NsnAAE,Teamplay,5 - 146  Old Kennedy Road,Markham,Ontario,,(905) 946-8953,43.82844740188224,-79.30230414066592
